sensor_id,lat,long
Y2H18086286,40.52494066,-88.96255924
YAI18086290,40.46109537,-88.95007211
YAI18086288,40.531,88.98614
Y2H18086285,40.39953809,89.06987818
Y2H18086280,40.50471,-88.98393
YAI18086287,40.44997,-89.00064
Y2H18086281,40.49436,-88.98316
Y2H18086283,40.50292,-88.93959
Y2H18086284,40.50273,-88.97405
YAI18086289,40.48723,-89.06351
