loc_name,monthAvgTot,monthAvgPed,monthAvgCyc
eastshelb,47,27,20
hcc,46,34,13
northcreek,1020,554,466
shirley,222,203,18
southside,84,59,24
southvernon,1007,486,521
westgrand,909,443,466
westhershey,1749,1336,414
westrt9,122,36,86
